#Position (bp)	Coverage
39.0	0.0
116.0	0.0
193.0	0.0
270.0	0.0
347.0	0.0
424.0	0.0
501.0	0.0
578.0	0.0
655.0	0.0
732.0	0.0
809.0	0.0
886.0	0.0
963.0	0.0
1040.0	0.0
1117.0	0.0
1194.0	0.0
1271.0	0.0
1348.0	0.0
1425.0	0.0
1502.0	0.0
1579.0	0.0
1656.0	0.0
1733.0	0.0
1810.0	0.0
1887.0	0.0
1964.0	0.0
2041.0	0.0
2118.0	0.0
2195.0	0.0
2272.0	0.0
2349.0	0.0
2426.0	0.0
2503.0	0.0
2580.0	0.0
2657.0	0.0
2734.0	0.0
2811.0	0.0
2888.0	0.0
2965.0	0.0
3042.0	0.0
3119.0	0.0
3196.0	0.0
3273.0	0.0
3350.0	0.0
3427.0	0.0
3504.0	0.0
3581.0	0.0
3658.0	0.0
3735.0	0.0
3812.0	0.0
3889.0	0.0
3966.0	0.0
4043.0	0.0
4120.0	0.0
4197.0	0.0
4274.0	0.0
4351.0	0.0
4428.0	0.0
4505.0	0.0
4582.0	0.0
4659.0	0.0
4736.0	0.0
4813.0	0.0
4890.0	0.0
4967.0	0.0
5044.0	0.0
5121.0	0.0
5198.0	0.0
5275.0	0.0
5352.0	0.0
5429.0	0.0
5506.0	0.0
5583.0	0.0
5660.0	0.0
5737.0	0.0
5814.0	0.0
5891.0	0.0
5968.0	0.0
6045.0	0.0
6122.0	0.0
6199.0	0.0
6276.0	0.0
6353.0	0.0
6430.0	0.0
6507.0	0.0
6584.0	0.0
6661.0	0.0
6738.0	0.0
6815.0	0.0
6892.0	0.0
6969.0	0.0
7046.0	0.0
7123.0	0.0
7200.0	0.0
7277.0	0.0
7354.0	0.0
7431.0	0.0
7508.0	0.0
7585.0	0.0
7662.0	0.0
7739.0	0.0
7816.0	0.0
7893.0	0.0
7970.0	0.0
8047.0	0.0
8124.0	0.0
8201.0	0.0
8278.0	0.0
8355.0	0.0
8432.0	0.0
8509.0	0.0
8586.0	0.0
8663.0	0.0
8740.0	0.0
8817.0	0.0
8894.0	0.0
8971.0	0.0
9048.0	0.0
9125.0	0.0
9202.0	0.0
9279.0	0.0
9356.0	0.0
9433.0	0.0
9510.0	0.0
9587.0	0.0
9664.0	0.0
9741.0	0.0
9818.0	0.0
9895.0	0.0
9972.0	0.0
10049.0	0.0
10126.0	0.0
10203.0	0.0
10280.0	0.0
10357.0	0.0
10434.0	0.0
10511.0	0.0
10588.0	0.0
10665.0	0.0
10742.0	0.0
10819.0	0.0
10896.0	0.0
10973.0	0.0
11050.0	0.0
11127.0	0.0
11204.0	0.0
11281.0	0.0
11358.0	0.0
11435.0	0.0
11512.0	0.0
11589.0	0.0
11666.0	0.0
11743.0	0.0
11820.0	0.0
11897.0	0.0
11974.0	0.0
12051.0	0.0
12128.0	0.0
12205.0	0.0
12282.0	0.0
12359.0	0.0
12436.0	0.0
12513.0	0.0
12590.0	0.0
12667.0	0.0
12744.0	0.0
12821.0	0.0
12898.0	0.0
12975.0	0.0
13052.0	0.0
13129.0	0.0
13206.0	0.0
13283.0	0.0
13360.0	0.0
13437.0	0.0
13514.0	0.0
13591.0	0.0
13668.0	0.0
13745.0	0.0
13822.0	0.0
13899.0	0.0
13976.0	0.0
14053.0	0.0
14130.0	0.0
14207.0	0.0
14284.0	0.0
14361.0	0.0
14438.0	0.0
14515.0	0.0
14592.0	0.0
14669.0	0.0
14746.0	0.0
14823.0	0.0
14900.0	0.0
14977.0	0.0
15054.0	0.0
15131.0	0.0
15208.0	0.0
15254.5	0.0
15293.0	0.0
15362.0	0.0
15439.0	0.0
15516.0	0.0
15593.0	0.0
15670.0	0.0
15747.0	0.0
15824.0	0.0
15901.0	0.6883116883116883
15978.0	1.7532467532467533
16055.0	0.8701298701298701
16132.0	0.0
16209.0	0.0
16286.0	0.8831168831168831
16363.0	1.0
16440.0	0.06493506493506493
16517.0	0.0
16594.0	0.0
16671.0	0.0
16748.0	0.0
16825.0	0.2597402597402597
16902.0	2.0779220779220777
16979.0	2.2337662337662336
17056.0	2.6103896103896105
17133.0	1.9350649350649352
17210.0	2.272727272727273
17287.0	4.2727272727272725
17364.0	5.090909090909091
17441.0	1.3766233766233766
17518.0	0.0
17595.0	0.15584415584415584
17672.0	1.0
17749.0	1.0909090909090908
17826.0	1.0
17903.0	0.6753246753246753
17980.0	0.0
18057.0	0.0
18134.0	0.0
18211.0	0.0
18288.0	0.0
18365.0	0.0
18442.0	0.0
18519.0	0.3116883116883117
18596.0	2.0779220779220777
18673.0	3.116883116883117
18750.0	1.1948051948051948
18827.0	0.6623376623376623
18904.0	0.922077922077922
18981.0	0.0
19058.0	0.0
19135.0	0.0
19212.0	0.0
19289.0	0.0
19366.0	0.0
19443.0	0.0
19520.0	0.0
19597.0	0.0
19674.0	0.0
19751.0	0.0
19828.0	0.0
19905.0	0.0
19982.0	0.0
20059.0	0.0
20136.0	0.0
20213.0	0.012987012987012988
20290.0	1.0389610389610389
20367.0	1.2987012987012987
20444.0	0.0
20521.0	0.0
20598.0	0.0
20675.0	0.4935064935064935
20752.0	0.05194805194805195
20829.0	0.0
20906.0	0.0
20983.0	0.0
21060.0	0.0
21137.0	1.7532467532467533
21214.0	3.0
21291.0	1.7792207792207793
21368.0	0.12987012987012986
21445.0	0.987012987012987
21522.0	0.7532467532467533
21599.0	0.2987012987012987
21676.0	1.3376623376623376
21753.0	1.7792207792207793
21830.0	1.8311688311688312
21907.0	1.8311688311688312
21984.0	0.7532467532467533
22061.0	0.0
22138.0	0.0
22215.0	0.0
22292.0	0.0
22369.0	0.0
22446.0	0.8181818181818182
22523.0	1.0389610389610389
22600.0	0.0
22677.0	0.0
22754.0	0.0
22831.0	0.0
22908.0	0.0
22985.0	0.6363636363636364
23062.0	2.090909090909091
23139.0	2.272727272727273
23216.0	0.8311688311688312
23293.0	0.0
23370.0	0.0
23447.0	0.0
23524.0	0.0
23601.0	0.0
23678.0	0.0
23755.0	0.0
23832.0	0.987012987012987
23909.0	0.974025974025974
23986.0	0.5714285714285714
24063.0	1.0
24140.0	0.9090909090909091
24217.0	2.0
24294.0	1.4025974025974026
24371.0	0.0
24448.0	0.0
24525.0	0.0
24602.0	0.0
24679.0	0.0
24756.0	0.0
24833.0	0.0
24910.0	0.0
24987.0	0.0
25064.0	0.8181818181818182
25141.0	1.0
25218.0	0.14285714285714285
25295.0	1.0
25372.0	1.1688311688311688
25449.0	1.0
25526.0	0.5454545454545454
25603.0	0.0
25680.0	0.987012987012987
25757.0	0.8571428571428571
25834.0	0.0
25911.0	0.0
25988.0	0.0
26065.0	1.1948051948051948
26142.0	3.155844155844156
26219.0	1.3896103896103895
26296.0	0.7142857142857143
26373.0	0.0
26450.0	0.0
26527.0	0.0
26604.0	0.0
26681.0	0.0
26758.0	0.0
26835.0	0.6883116883116883
26912.0	1.7402597402597402
26989.0	0.8311688311688312
27066.0	0.7922077922077922
27143.0	1.2727272727272727
27220.0	1.1688311688311688
27297.0	0.6883116883116883
27374.0	0.03896103896103896
27451.0	1.0
27528.0	0.922077922077922
27605.0	0.0
27682.0	0.0
27759.0	0.37662337662337664
27836.0	1.2987012987012987
27913.0	1.4155844155844155
27990.0	0.0
28067.0	0.0
28144.0	0.0
28221.0	0.0
28298.0	0.0
28375.0	0.0
28452.0	0.0
28529.0	0.0
28606.0	0.5974025974025974
28683.0	1.0
28760.0	0.8311688311688312
28837.0	1.0
28914.0	0.4025974025974026
28991.0	0.0
29068.0	0.0
29145.0	0.0
29222.0	0.0
29299.0	0.0
29376.0	0.0
29453.0	0.0
29530.0	0.0
29607.0	0.0
29684.0	0.0
29761.0	0.0
29838.0	0.0
29915.0	0.0
29992.0	0.0
30069.0	0.0
30146.0	0.0
30223.0	0.0
30300.0	0.0
30377.0	0.0
30454.0	0.0
30520.0	0.0
